covid_final_output.top_death,covid_final_output.top_test,covid_final_output.country_name
35.0,100138.0,Afghanistan
83.0,49172.0,Albania
32.0,NULL,Algeria
686.0,137457.0,Andorra
3.0,64747.0,Angola
NULL,662.0,Anguilla
31.0,1738.0,Antigua and Barbuda
144.0,1030992.0,Argentina
282.0,190560.0,Armenia
56.0,17669.0,Aruba
18.0,5507605.0,Australia
81.0,1061437.0,Austria
50.0,855802.0,Azerbaijan
58.0,8449.0,Bahamas
105.0,1011805.0,Bahrain
23.0,1407556.0,Bangladesh
24.0,15028.0,Barbados
66.0,1437110.0,Belarus
860.0,2049976.0,Belgium
13.0,5592.0,Belize
3.0,107057.0,Benin
145.0,36203.0,Bermuda
NULL,66835.0,Bhutan
362.0,222251.0,Bolivia
157.0,168861.0,Bosnia and Herzegovina
1.0,93420.0,Botswana
528.0,1.3748152E7,Brazil
33.0,1890.0,British Virgin Islands
7.0,49399.0,Brunei
77.0,358723.0,Bulgaria
3.0,NULL,Burkina Faso
0.08,19993.0,Burundi
13.0,30775.0,CAR
66.0,73900.0,Cabo Verde
NULL,83626.0,Cambodia
15.0,149000.0,Cameroon
240.0,4974215.0,Canada
NULL,424.0,Caribbean Netherlands
15.0,33978.0,Cayman Islands
5.0,NULL,Chad
276.0,68985.0,Channel Islands
558.0,2113632.0,Chile
3.0,9.041E7,China
318.0,2374898.0,Colombia
8.0,NULL,Comoros
14.0,NULL,Congo
65.0,126337.0,Costa Rica
41.0,144521.0,Croatia
8.0,346439.0,Cuba
6.0,1080.0,Curaçao
17.0,263943.0,Cyprus
38.0,820151.0,Czechia
3.0,NULL,DRC
107.0,2075156.0,Denmark
NULL,NULL,Diamond Princess
60.0,63471.0,Djibouti
NULL,1646.0,Dominica
139.0,335478.0,Dominican Republic
351.0,297376.0,Ecuador
51.0,135000.0,Egypt
99.0,288307.0,El Salvador
59.0,49215.0,Equatorial Guinea
NULL,NULL,Eritrea
47.0,138166.0,Estonia
70.0,28380.0,Eswatini
5.0,694093.0,Ethiopia
NULL,80312.0,Faeroe Islands
NULL,2256.0,Falkland Islands
1.0,6693.0,Fiji
60.0,517936.0,Finland
467.0,6000000.0,France
180.0,48382.0,French Guiana
NULL,9912.0,French Polynesia
24.0,104420.0,Gabon
33.0,10781.0,Gambia
4.0,315142.0,Georgia
111.0,1.0197366E7,Germany
8.0,431272.0,Ghana
NULL,28366.0,Gibraltar
23.0,816450.0,Greece
NULL,6446.0,Greenland
NULL,6252.0,Grenada
37.0,23585.0,Guadeloupe
140.0,213204.0,Guatemala
4.0,16975.0,Guinea
17.0,1500.0,Guinea-Bissau
37.0,6502.0,Guyana
17.0,21400.0,Haiti
162.0,127946.0,Honduras
10.0,780415.0,Hong Kong
63.0,390079.0,Hungary
29.0,191690.0,Iceland
40.0,3.2661252E7,India
23.0,1969941.0,Indonesia
241.0,2939840.0,Iran
154.0,1368727.0,Iraq
359.0,735598.0,Ireland
282.0,9423.0,Isle of Man
86.0,2180096.0,Israel
586.0,7790596.0,Italy
4.0,117115.0,Ivory Coast
5.0,49215.0,Jamaica
9.0,1259422.0,Japan
1.0,720972.0,Jordan
75.0,2291327.0,Kazakhstan
10.0,398585.0,Kenya
119.0,577588.0,Kuwait
229.0,267718.0,Kyrgyzstan
NULL,35428.0,Laos
18.0,232918.0,Latvia
17.0,443709.0,Lebanon
14.0,12033.0,Lesotho
16.0,NULL,Liberia
25.0,88492.0,Libya
26.0,900.0,Liechtenstein
30.0,594478.0,Lithuania
198.0,706629.0,Luxembourg
NULL,NULL,MS Zaandam
NULL,4071.0,Macao
6.0,53954.0,Madagascar
9.0,41026.0,Malawi
4.0,1152140.0,Malaysia
44.0,100233.0,Maldives
6.0,32716.0,Mali
20.0,166348.0,Malta
43.0,12227.0,Martinique
34.0,68872.0,Mauritania
8.0,205285.0,Mauritius
143.0,13000.0,Mayotte
453.0,1211552.0,Mexico
228.0,183923.0,Moldova
102.0,51953.0,Monaco
NULL,46332.0,Mongolia
129.0,44219.0,Montenegro
200.0,61.0,Montserrat
21.0,1670569.0,Morocco
0.6,82264.0,Mozambique
0.1,141044.0,Myanmar
16.0,45744.0,Namibia
4.0,878622.0,Nepal
361.0,1312787.0,Netherlands
NULL,11838.0,New Caledonia
4.0,657506.0,New Zealand
20.0,NULL,Nicaragua
3.0,9052.0,Niger
5.0,352625.0,Nigeria
266.0,132493.0,North Macedonia
49.0,588550.0,Norway
119.0,309212.0,Oman
28.0,2363752.0,Pakistan
23.0,214862.0,Palestine
426.0,287300.0,Panama
0.4,14439.0,Papua New Guinea
24.0,166110.0,Paraguay
818.0,2852011.0,Peru
26.0,2193448.0,Philippines
51.0,2409394.0,Poland
175.0,1880235.0,Portugal
69.0,572273.0,Qatar
164.0,1591015.0,Romania
110.0,3.35E7,Russia
0.8,351383.0,Rwanda
6.0,35419.0,Réunion
6.0,1734083.0,S. Korea
NULL,1385.0,Saint Kitts and Nevis
NULL,4946.0,Saint Lucia
129.0,2449.0,Saint Martin
NULL,NULL,Saint Pierre Miquelon
1237.0,6511.0,San Marino
68.0,3432.0,Sao Tome and Principe
102.0,4501104.0,Saudi Arabia
16.0,134349.0,Senegal
79.0,842441.0,Serbia
NULL,NULL,Seychelles
9.0,NULL,Sierra Leone
5.0,1745928.0,Singapore
396.0,1983.0,Sint Maarten
6.0,304021.0,Slovakia
62.0,147091.0,Slovenia
6.0,NULL,Somalia
212.0,3480283.0,South Africa
4.0,12044.0,South Sudan
616.0,7955615.0,Spain
0.5,195025.0,Sri Lanka
NULL,1699.0,St. Barth
NULL,3033.0,St. Vincent Grenadines
18.0,401.0,Sudan
94.0,5889.0,Suriname
574.0,1030010.0,Sweden
231.0,910283.0,Switzerland
5.0,NULL,Syria
0.3,85563.0,Taiwan
7.0,NULL,Tajikistan
0.4,NULL,Tanzania
0.8,749213.0,Thailand
NULL,4238.0,Timor-Leste
3.0,55741.0,Togo
9.0,18036.0,Trinidad and Tobago
5.0,119193.0,Tunisia
72.0,6061930.0,Turkey
52.0,1940.0,Turks and Caicos
37.0,6265918.0,UAE
609.0,1.5177265E7,UK
536.0,7.3868332E7,USA
0.4,336713.0,Uganda
50.0,1356698.0,Ukraine
12.0,154431.0,Uruguay
8.0,1377915.0,Uzbekistan
NULL,NULL,Vatican City
11.0,1678639.0,Venezuela
0.3,817208.0,Vietnam
2.0,NULL,Western Sahara
102.2,NULL,World
18.0,120.0,Yemen
15.0,103023.0,Zambia
10.0,149748.0,Zimbabwe
